ID,Year,Event Name,Country,Longitude,Latitude,Date (UTC),Time (UTC),Magnitude,Depth,People injured,People killed,Buildings destroyed,Buildings damaged,Dwellings Destroyed,Dwellings damaged,People homeless,Direct economic loss (USD millions),adj Lon,adj Lat
30,1990,Manjil,Iran,49.213,37.008,6/20/1990,21:00:00,7.4,18,60000,45000,null,null,null,null,400000,7500,49.213,37.008
29,1990,Vrancea area,Romania,26.64,45.86,5/30/1990,10:40:00,7,89,350,14,0,null,null,null,null,20,26.64,45.86
28,1989,USA,Loma Prieta,-121.88,37.04,10/18/1989,0:04:15,6.9,18,3757,521,null,null,11500,31600,10603,5078,-121.88,37.04
27,1989,Newcastle,Australia,51.61,-33.95,12/27/1989,23:26:27,5.4,10.5,160,13,290,38000,100,35000,1000,530,151.779121,-32.913941
26,1988,Nepal-India border,Nepal,86.62,26.76,8/20/1988,23:09:00,6.8,57,11095,999,80000,200000,78305,179343,460000,242,86.62,26.76
25,1988,Spitak,Armenia,44.119,40.919,7/12/1988,7:41:24,6.7,6.6,19000,25000,null,null,null,null,500000,16200,44.119,40.919
24,1987,Edgecumbe,New Zealand,176.92,-30.02,3/2/1987,1:42:00,6.5,15,35,0,null,null,11,4000,null,27.6,176.825357,-37.943978
23,1987,Reventador,Ecuador,-77.787,0.082,3/6/1987,4:10:00,7.1,17.1,1000,null,818,1158,3042,12433,20000,185,-77.787,0.082
22,1986,San Salvador,El Salvador,-89.118,13.827,10/10/1986,17:49:00,5.4,7,10000,1200,156,945,22800,29800,200000,685,-89.118,13.827
21,1986,Kalamata,Greece,22.18,37.07,9/13/1986,17:24:00,5.9,21.7,300,20,4495,7633,null,null,10000,745,22.18,37.07
20,1985,Michoacan,Mexico,-102.53,18.19,9/19/1985,13:17:47,8.1,28,30000,9500,1040,3300,36000,65000,150000,3589,-102.53,18.19
19,1985,Valparaiso,Chile,-71.761,-33.139,3/3/1985,22:47:00,7.9,35,12500,177,142489,null,null,null,1000000,1600,-71.624427,-33.060017
18,1983,Popayan,Columbia,-76.659,2.439,3/31/1983,13:12:00,5.6,30.1,1500,300,2500,6800,2470,11385,10000,336.97,-76.659,2.439
17,1980,El Asnam,Algeria,1.4,36.14,10/10/1980,12:25:00,7.1,15,9000,6000,1133,6399,35450,30000,300000,4000,1.4,36.14
16,1980,Terceira Island,Portugal,-27.75,38.73,1/1/1980,16:42:00,6.9,12.2,400,60,5455,9983,null,null,22000,410,-27.75,38.73
15,1980,Irpinia,Italy,15.31,40.79,11/23/1980,18:34:00,6.9,6.9,9394,3007,null,null,20000,80000,527000,18500,15.31,40.79
14,1979,"Montenegro, Serbia",Montenegro,19.15,42,4/15/1979,6:19:00,6.9,15,1546,129,14953,25117,null,null,100000,3690,19.5,42
13,1978,Tabas,Iran,57.382,33.238,9/16/1978,15:35:56,7.4,33,null,20000,null,null,15000,null,null,11,57.382,33.238
12,1978,Miyagi-ken,Japan,142,38.2,6/12/1978,8:14:00,7.7,53,11028,28,1383,178261,null,null,null,800,141,38.2
11,1977,Vrancea,Romania,26.7,45.78,3/4/1977,19:21:00,7.5,89,11500,1700,null,null,35600,706659,200000,1683.3,26.7,45.78
10,1976,Guatemala,Guatemala,-89.14,15.3,2/4/1976,9:01:00,7.6,12.3,77190,22868,null,null,254750,null,1044441,1045,-89.14,15.3
9,1976,Tangshan,China,118.19,39.59,7/27/1976,19:42:00,7.6,16.7,779000,242800,1548,659,1500000,1100000,6600000,7000,118.19,39.59
8,1976,Friuli,Italy,13.27,46.38,5/6/1976,20:00:00,6.5,20.9,2400,965,6813,69000,20880,75000,189000,3471,13.27,46.38
7,1976,Van-Caldiran,Türkiye,44.16,39.12,11/24/1976,12:22.00,7.5,10,497,3840,null,null,9552,12600,null,null,44.16,39.12
6,1975,Diyarbakir-Lice,Türkiye,40.764,38.513,9/6/1975,9:20:00,6.6,32,3339,2385,null,null,8149,11833,null,null,40.764,38.513
5,1972,Managua,Nicaragua,-86.269,12.146,12/23/1972,6:29:00,6.2,6.2,20000,10000,60000,null,53830,50000,300000,152,-86.269,12.146
4,1971,San Fernando,USA,-118.4,34.42,2/9/1971,14:00:41,6.7,8,2543,65,1154,6507,1692,27612,null,498,-118.4,34.42
3,1970,Ancash (Chimbote),Peru,-78.842,-9.248,5/31/1970,20:23:00,7.5,73.2,143500,49000,null,null,186000,null,1700000,507,-78.842,-9.248
2,1967,Caracas,Venezuela,-67.31,10.555,7/30/1967,0:00:00,6.6,23.1,1536,275,16,410,null,null,1000,85,-67.31,10.555
1,1923,Kanto,Japan,139.139,35.328,9/1/1923,2:58:00,7.9,23,103733,105385,293387,372659,null,null,767326,9180,139.139,35.328
